SERVICE_WID,SERVICE,SUB_SERVICE,SERVICE_STATUS_CD,SRV_PLAN_WID,PLAN_NAME,SRV_PLAN_STATUS_CD,SERVICE_START_DATE,SERVICE_END_DATE,SERVICE_DURATION,SERVICE_START_MONTH,SERVICE_START_YEAR,SERVICE_END_MONTH,SERVICE_END_YEAR,CASE_WID,CASE_NUM,TOTAL_COST_AMT,OUTCOME_FEES_PAID_AMT,SERVICE_SUPPORT_COST_AMT,CLIENT_TYPE_WID,CLIENT_TYPE_CD,CLIENT_TYPE,BIRTH_DATE,GENDER,EDUCATION_LEVEL,BIRTH_DECATE,AGE,GROUP_AGE
2523451994.0,Self-Employment,Business Launch & Implementation,Closed,888506203.0,Employment Services,Closed,2020-04-26,2021-01-16,265.0,4,2020,1.0,2021.0,1212405872.0,1-60253862061,19600.0,,,1.0,BCEA EO,BCEA EO,1982-01-03,Woman/Girl,Secondary,1980,42,40 - 49
2592189464.0,Client Needs Assessment,Client Needs Assessment,Closed,885614879.0,Employment Services,Closed,2020-01-30,2020-05-08,99.0,1,2020,5.0,2020.0,1222328554.0,1-60663637034,525.0,,,12.0,NEO PWD REACHBACK,BCEA NEO PWD and EI Reachback,1976-03-07,Woman/Girl,College,1970,47,40 - 49
2605136994.0,Self-Serve Services,Self-Serve Services,Cancelled,885120650.0,Self-Serve,Closed,2020-01-27,2022-06-14,869.0,1,2020,6.0,2022.0,1221742752.0,1-60629392710,,,,1.0,BCEA EO,BCEA EO,1986-03-13,Woman/Girl,Unknown,1980,37,30 - 39
2605913694.0,Client Needs Assessment,Client Needs Assessment,Closed,885120828.0,Employment Services,Closed,2020-01-27,2020-07-23,178.0,1,2020,7.0,2020.0,1221742854.0,1-60613821189,,,,10.0,EO REACHBACK,BCEA EO and EI Reachback,2003-11-05,Man/Boy,Unknown,2000,20,20 - 29
2632673264.0,Self-Employment,Business Plan Development,Closed,888239732.0,Employment Services,Closed,2020-01-12,2020-03-21,69.0,1,2020,3.0,2020.0,1211783028.0,1-60223454369,15138.55,0.0,12776.05,13.0,NEO PPMB ACTIVE,BCEA NEO PPMB and EI Active,1990-03-06,Man/Boy,Apprenticeship,1990,33,30 - 39
8922910264.0,Job Search,Job Search,Closed,867316489.0,Employment Services,Closed,2020-08-27,2021-08-25,363.0,8,2020,8.0,2021.0,1234105820.0,1-51658458201,,,,10.0,EO REACHBACK,BCEA EO and EI Reachback,1984-11-11,Woman/Girl,Secondary,1980,39,30 - 39
8914457694.0,Self-Serve Services,Self-Serve Services,Closed,867396617.0,Self-Serve,Closed,2020-08-25,2020-08-25,0.0,8,2020,8.0,2020.0,1234967395.0,1-51672342216,109.68,0.0,109.68,12.0,NEO PWD REACHBACK,BCEA NEO PWD and EI Reachback,2002-10-04,Woman/Girl,Apprenticeship,2000,21,20 - 29
8806893694.0,Work Experience,Wage Subsidy Work Experience,Closed,821737389.0,Employment Services,Closed,2021-03-16,2021-03-27,11.0,3,2021,3.0,2021.0,1153294715.0,1-64327978368,8183.52,0.0,388.36,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1966-06-25,Man/Boy,College,1960,57,50 - 59
2646899264.0,Client Needs Assessment,Client Needs Assessment,Closed,886985959.0,Employment Services,Closed,2020-01-16,2020-06-01,137.0,1,2020,6.0,2020.0,1214807693.0,1-60806925425,1312.5,,,11.0,NEO PWD ACTIVE,BCEA NEO PWD and EI Active,1965-08-29,Man/Boy,Apprenticeship,1960,58,50 - 59
8673851464.0,Client Needs Assessment,Client Needs Assessment,Closed,866023187.0,Employment Services,Closed,2021-05-20,2022-05-20,365.0,5,2021,5.0,2022.0,1890859053.0,1-57959136938,,,,6.0,EI ACTIVE,EI Active,1971-05-25,Woman/Girl,University,1970,52,50 - 59
8663703264.0,Client Needs Assessment,Client Needs Assessment,Closed,866083171.0,Employment Services,Closed,2021-05-25,2021-06-09,15.0,5,2021,6.0,2021.0,1890588628.0,1-57116357689,2362.5,,,6.0,EI ACTIVE,EI Active,2004-08-19,Man/Boy,Apprenticeship,2000,19,19-
8651526994.0,Client Needs Assessment,Client Needs Assessment,Closed,866073910.0,Employment Services,Closed,2021-05-27,2021-09-01,97.0,5,2021,9.0,2021.0,1890435164.0,1-57171622076,6693.78,,,9.0,EO ACTIVE,BCEA EO and EI Active,1993-01-21,Man/Boy,University,1990,31,30 - 39
8615866994.0,Client Needs Assessment,Client Needs Assessment,Closed,866359749.0,Employment Services,Closed,2021-05-04,2021-06-23,50.0,5,2021,6.0,2021.0,1893874178.0,1-58097532277,2625.0,,,5.0,EI ACTIVE,EI Active,1984-11-02,Man/Boy,Elementary,1980,39,30 - 39
8616361994.0,Client Needs Assessment,Client Needs Assessment,Closed,866359792.0,Employment Services,Closed,2021-05-04,2021-05-10,6.0,5,2021,5.0,2021.0,1895105260.0,1-58584244789,0.0,0.0,0.0,14.0,NEO PPMB REACHBACK,BCEA NEO PPMB and EI Reachback,2005-11-17,Man/Boy,University,2000,18,19-
2605436694.0,Job Search,Job Search,Closed,887541165.0,Employment Services,Closed,2020-01-27,2021-01-12,351.0,1,2020,1.0,2021.0,1216003100.0,1-60858681000,2200.66,,,8.0,EI REACHBACK,EI Reachback,1985-02-18,Woman/Girl,University,1980,38,30 - 39
2328655994.0,Job Sustainment,Job Sustainment,Closed,887541823.0,Employment Services,Closed,2020-01-14,2021-01-08,360.0,1,2020,1.0,2021.0,1216003241.0,1-60856380994,2537.5,2537.5,0.0,12.0,NEO PWD REACHBACK,BCEA NEO PWD and EI Reachback,2003-06-22,Woman/Girl,Unknown,2000,20,20 - 29
2848493994.0,Skills Enhancement - ESS Workshops,Find Jobs or Work Experience Workshop,In Progress,813205868.0,Employment Services,Open,2019-10-03,,,10,2019,,,1165594504.0,1-64725276230,,,,5.0,EI ACTIVE,EI Active,1998-04-13,Man/Boy,Apprenticeship,1990,25,20 - 29
